Date;Hour;Mean_Value;Min_Value;Max_Value;Std_Dev;Record_Count;Parameter;Unit
2025-05-20;22;272.399052;199.982223;348.073783;37.686905;59;HCl Dry 11% O2;mg/Nm3
2025-05-20;23;297.116733;245.425418;347.75433;22.365618;59;HCl Dry 11% O2;mg/Nm3
2025-05-21;0;302.00094;250.930611;369.187699;33.835456;53;HCl Dry 11% O2;mg/Nm3
2025-05-21;1;332.665053;277.011264;381.370107;24.659377;59;HCl Dry 11% O2;mg/Nm3
2025-05-21;2;329.912239;271.158918;406.782404;29.434155;59;HCl Dry 11% O2;mg/Nm3
2025-05-21;3;338.385332;280.707602;400.817197;29.529559;59;HCl Dry 11% O2;mg/Nm3
2025-05-21;4;358.082631;296.279866;418.904812;30.078565;54;HCl Dry 11% O2;mg/Nm3
2025-05-21;5;388.847935;301.237838;503.709708;47.903601;60;HCl Dry 11% O2;mg/Nm3
2025-05-21;22;356.008199;316.264831;408.080475;21.844866;60;HCl Dry 11% O2;mg/Nm3
2025-05-21;23;333.526457;282.992487;402.440729;24.115797;59;HCl Dry 11% O2;mg/Nm3
2025-05-22;0;349.829975;322.722221;379.628144;15.629465;25;HCl Dry 11% O2;mg/Nm3
2025-05-22;1;354.469725;326.420336;384.566592;13.950938;40;HCl Dry 11% O2;mg/Nm3
2025-05-22;2;327.614567;282.150511;387.623374;21.812853;59;HCl Dry 11% O2;mg/Nm3
2025-05-22;3;381.308202;290.444154;448.609294;43.355505;60;HCl Dry 11% O2;mg/Nm3
2025-05-22;4;398.321179;350.176518;452.593077;23.377637;59;HCl Dry 11% O2;mg/Nm3
2025-05-22;5;355.179039;325.595213;392.20527;14.349698;55;HCl Dry 11% O2;mg/Nm3
2025-05-22;22;377.680368;327.667384;446.507048;32.924847;57;HCl Dry 11% O2;mg/Nm3
2025-05-22;23;374.404607;234.557447;440.009053;55.611448;56;HCl Dry 11% O2;mg/Nm3
2025-05-23;0;354.717497;275.006137;409.602743;35.70387;26;HCl Dry 11% O2;mg/Nm3
2025-05-23;1;340.056579;321.811584;368.346321;11.423576;40;HCl Dry 11% O2;mg/Nm3
2025-05-23;2;347.332601;295.917414;499.169646;56.171765;56;HCl Dry 11% O2;mg/Nm3
2025-05-23;3;358.726099;303.418142;456.1686;34.393327;57;HCl Dry 11% O2;mg/Nm3
2025-05-23;4;410.996613;337.805335;661.944586;62.774312;57;HCl Dry 11% O2;mg/Nm3
2025-05-23;5;391.222931;303.870021;465.624817;34.198658;52;HCl Dry 11% O2;mg/Nm3
2025-05-23;22;323.315431;264.536554;389.906841;27.107448;59;HCl Dry 11% O2;mg/Nm3
2025-05-23;23;343.866285;284.583392;410.366772;31.851275;59;HCl Dry 11% O2;mg/Nm3
2025-05-24;0;342.833224;315.143969;369.865153;14.269822;23;HCl Dry 11% O2;mg/Nm3
2025-05-24;1;389.091034;341.574797;463.935361;34.8903;47;HCl Dry 11% O2;mg/Nm3
2025-05-24;2;334.726442;303.266469;372.549056;17.22386;59;HCl Dry 11% O2;mg/Nm3
2025-05-24;3;334.870472;297.000603;380.277138;21.274391;59;HCl Dry 11% O2;mg/Nm3
2025-05-24;4;327.261936;277.59258;360.540914;17.986546;59;HCl Dry 11% O2;mg/Nm3
2025-05-24;5;325.23993;286.467579;361.035374;13.789096;55;HCl Dry 11% O2;mg/Nm3
2025-05-24;22;321.7669;275.891416;351.801947;16.911906;59;HCl Dry 11% O2;mg/Nm3
2025-05-24;23;379.105842;305.788856;438.631126;37.221239;59;HCl Dry 11% O2;mg/Nm3
2025-05-25;0;422.4816;352.808828;481.652348;34.093606;25;HCl Dry 11% O2;mg/Nm3
2025-05-25;1;202.122714;182.606324;274.739088;14.869686;51;HCl Dry 11% O2;mg/Nm3
2025-05-25;2;235.832882;213.849816;265.676387;11.749097;60;HCl Dry 11% O2;mg/Nm3
2025-05-25;3;230.848593;194.842869;277.378966;21.830247;60;HCl Dry 11% O2;mg/Nm3
2025-05-25;4;252.739569;205.981516;354.954205;37.251693;60;HCl Dry 11% O2;mg/Nm3
2025-05-25;5;189.192458;164.443483;252.81005;17.235755;54;HCl Dry 11% O2;mg/Nm3
2025-05-25;22;439.906505;403.875377;473.804576;16.427003;59;HCl Dry 11% O2;mg/Nm3
2025-05-25;23;438.189171;405.918759;464.825214;13.889009;60;HCl Dry 11% O2;mg/Nm3
2025-05-26;0;437.801039;417.562526;465.661363;11.188999;23;HCl Dry 11% O2;mg/Nm3
2025-05-26;1;394.808489;364.813212;432.335926;18.472968;34;HCl Dry 11% O2;mg/Nm3
2025-05-26;2;423.61172;382.282058;458.666449;18.101347;59;HCl Dry 11% O2;mg/Nm3
2025-05-26;3;420.177125;386.822928;454.578538;17.929074;60;HCl Dry 11% O2;mg/Nm3
2025-05-26;4;405.102322;356.293094;448.692527;24.082796;60;HCl Dry 11% O2;mg/Nm3
2025-05-26;5;468.043783;405.612061;517.886261;34.263362;55;HCl Dry 11% O2;mg/Nm3
2025-05-26;22;415.468772;377.676254;447.818077;15.943157;60;HCl Dry 11% O2;mg/Nm3
2025-05-26;23;420.037372;349.858296;507.91415;31.842055;60;HCl Dry 11% O2;mg/Nm3
2025-05-27;0;410.093565;385.946493;432.147423;12.998809;26;HCl Dry 11% O2;mg/Nm3
2025-05-27;1;397.354788;283.58633;437.428815;37.536391;49;HCl Dry 11% O2;mg/Nm3
2025-05-27;2;424.437069;387.510105;469.284513;25.024684;59;HCl Dry 11% O2;mg/Nm3
2025-05-27;3;413.063946;377.262432;444.426834;15.864556;60;HCl Dry 11% O2;mg/Nm3
2025-05-27;4;404.960762;370.210519;444.032467;21.321024;60;HCl Dry 11% O2;mg/Nm3
2025-05-27;5;397.732809;339.921045;437.673057;22.144834;55;HCl Dry 11% O2;mg/Nm3
