Date;Hour;Mean_Value;Min_Value;Max_Value;Std_Dev;Record_Count;Parameter;Unit;KKS_Tag
2025-05-16;0;0.007118;0.007052;0.007168;2.6e-05;118;Ash Production;kg/h;ETG01FU001XJ62
2025-05-16;1;0.007137;0.007082;0.007194;2.5e-05;120;Ash Production;kg/h;ETG01FU001XJ62
2025-05-16;2;0.007167;0.007125;0.007216;2.3e-05;120;Ash Production;kg/h;ETG01FU001XJ62
2025-05-16;3;0.007177;0.00709;0.007266;3.4e-05;120;Ash Production;kg/h;ETG01FU001XJ62
2025-05-16;4;0.0072;0.007148;0.007262;2.5e-05;120;Ash Production;kg/h;ETG01FU001XJ62
2025-05-16;5;0.007181;0.007088;0.007241;3.2e-05;120;Ash Production;kg/h;ETG01FU001XJ62
2025-05-16;22;0.007198;0.007139;0.007275;3.4e-05;120;Ash Production;kg/h;ETG01FU001XJ62
2025-05-16;23;0.007197;0.007116;0.007258;3.1e-05;120;Ash Production;kg/h;ETG01FU001XJ62
2025-05-17;0;0.007155;0.007061;0.007212;3.7e-05;118;Ash Production;kg/h;ETG01FU001XJ62
2025-05-17;1;0.007167;0.007125;0.007245;2.7e-05;120;Ash Production;kg/h;ETG01FU001XJ62
2025-05-17;2;0.007269;0.007171;0.007351;4.5e-05;120;Ash Production;kg/h;ETG01FU001XJ62
2025-05-17;3;0.007339;0.007268;0.007423;3.9e-05;120;Ash Production;kg/h;ETG01FU001XJ62
2025-05-17;4;0.007335;0.007251;0.007386;3,00E-05;120;Ash Production;kg/h;ETG01FU001XJ62
2025-05-17;5;0.007278;0.007185;0.007355;3.5e-05;120;Ash Production;kg/h;ETG01FU001XJ62
2025-05-17;22;0.007078;0.007021;0.007135;2.7e-05;120;Ash Production;kg/h;ETG01FU001XJ62
2025-05-17;23;0.007085;0.006992;0.007152;4,00E-05;120;Ash Production;kg/h;ETG01FU001XJ62
2025-05-18;0;0.007109;0.007026;0.007158;2.8e-05;118;Ash Production;kg/h;ETG01FU001XJ62
2025-05-18;1;0.007101;0.006976;0.00722;6.1e-05;120;Ash Production;kg/h;ETG01FU001XJ62
2025-05-18;2;0.007138;0.007095;0.007184;2.3e-05;120;Ash Production;kg/h;ETG01FU001XJ62
2025-05-18;3;0.007169;0.00712;0.007266;3.6e-05;120;Ash Production;kg/h;ETG01FU001XJ62
2025-05-18;4;0.007144;0.007092;0.007227;3.5e-05;120;Ash Production;kg/h;ETG01FU001XJ62
2025-05-18;5;0.007144;0.007093;0.007173;1.7e-05;120;Ash Production;kg/h;ETG01FU001XJ62
2025-05-18;22;0.007118;0.007051;0.00716;2.2e-05;120;Ash Production;kg/h;ETG01FU001XJ62
2025-05-18;23;0.007112;0.007008;0.007172;3.7e-05;120;Ash Production;kg/h;ETG01FU001XJ62
2025-05-19;0;0.007093;0.007053;0.007149;2.2e-05;118;Ash Production;kg/h;ETG01FU001XJ62
2025-05-19;1;0.007085;0.006988;0.007148;3.3e-05;120;Ash Production;kg/h;ETG01FU001XJ62
2025-05-19;2;0.007129;0.007074;0.007177;2.5e-05;120;Ash Production;kg/h;ETG01FU001XJ62
2025-05-19;3;0.00712;0.007058;0.007172;2.9e-05;120;Ash Production;kg/h;ETG01FU001XJ62
2025-05-19;4;0.007136;0.007056;0.007192;2.9e-05;120;Ash Production;kg/h;ETG01FU001XJ62
2025-05-19;5;0.00713;0.007091;0.007184;2.4e-05;120;Ash Production;kg/h;ETG01FU001XJ62
2025-05-19;22;0.007861;0.007702;0.00798;6.7e-05;120;Ash Production;kg/h;ETG01FU001XJ62
